src_ip,dst_ip,src_port,dst_port,protocol,packet_count,flow_duration,total_bytes,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,large_packet_ratio,mean_iat,std_iat,max_iat,burst_density,mean_burst_time,std_burst_time,idle_ratio,mean_idle_time,std_idle_time
150.96.198.114,210.110.150.119,443,17681,6,1429,16.9150128364563,4316923,3020.9398180545836,2326.1261003192994,198.0,23400.0,0.9832050384884534,0.011845247084353151,0.028301503813816912,0.1276850700378418,595140.2447074133,0.08739303680787604,0.0,0.571172502417926,0.11782183879759253,0.004177554619777172
142.122.56.106,131.129.235.140,443,6116,6,61,5.301031112670898,33049,541.7868852459017,606.2788438905935,40.0,1452.0,0.26229508196721313,0.08835051854451498,0.5220143212307194,4.072399139404297,26899.00134466657,0.6143159866333008,0.0,0.7682275928248318,4.072399139404297,0.0
60.140.116.24,150.96.198.114,48158,443,6,3518,17.000171899795532,244080,69.38032973280274,13.426500896613048,52.0,80.0,0.0,0.004833713932270552,0.007713733737968413,0.11029911041259766,15169.868899813584,1.1492706196648734,0.0,0.05355140973291243,0.07002947880671574,0.017596918897796163
163.172.63.228,170.133.199.145,55771,8801,17,334,16.993033170700073,19428,58.16766467065868,11.924740394171796,55.0,137.0,0.0,0.05103012964174196,0.008874765376046147,0.10071516036987305,1150.1085190327715,8.4461590051651,0.0,0.005926849752560923,0.10071516036987305,0.0
39.22.85.214,150.96.191.217,80,43584,6,497,16.848939895629883,823310,1656.559356136821,890.1848162265122,55.0,2960.0,0.7967806841046278,0.03396963688635057,0.05732105030830239,0.3199000358581543,73092.84054978118,0.3633513835168654,0.0,0.3314776306239908,0.1861682335535685,0.038736620772634636
150.96.101.145,151.85.24.76,58594,7017,17,815,16.93861699104309,48662,59.7079754601227,8.74972379297687,55.0,137.0,0.0,0.02080911178260822,0.014614228907813996,0.1181178092956543,3262.229477202423,0.4972263813018799,0.0,0.11936189558415025,0.0697181224822998,0.018854292033158682
116.109.62.33,150.96.198.114,49700,443,6,2825,16.99922204017639,149000,52.743362831858406,2.892709055973714,52.0,64.0,0.0,0.006019554546804671,0.007789380177128446,0.03559303283691406,8765.106478563734,16.99922204017639,0.0,0.0,0.0,0.0
38.240.187.231,150.96.198.114,873,50205,6,1217,16.98863387107849,2819804,2317.012325390304,1150.475859110191,1420.0,9628.0,1.0,0.013970916012400076,0.03221304248382184,0.12798213958740234,707217.0332107072,0.02997881487796181,0.0,0.7653028975531921,0.09849584463870886,0.009709956568486878
216.197.43.75,131.129.134.42,443,51393,17,26,14.018792152404785,2672,102.76923076923077,64.22035843772458,52.0,193.0,0.0,0.5607516860961914,1.0242488885481589,2.9499499797821045,516.0474114898719,1.2944544553756714,0.0,0.6306515999478541,2.946991443634033,0.0037807652554339754
150.96.229.35,124.0.236.202,58945,8005,17,885,16.980543851852417,118466,133.8598870056497,79.76634399222229,28.0,789.0,0.0,0.01920876001340771,0.02793455859255969,0.7165439128875732,7632.945471264779,3.1040701866149902,0.0,0.08599211223885861,0.36504822969436646,0.20813337966631368
142.123.182.160,150.96.144.62,443,57948,6,10,2.9626641273498535,3315,331.5,499.4601585712318,40.0,1562.0,0.1,0.3291849030388726,0.47558508938471444,1.1339430809020996,1118.9249738006383,2.9626641273498535,0.0,0.0,0.0,0.0
131.129.249.32,146.84.173.91,61199,443,6,8,16.652931928634644,480,60.0,13.856406460551018,52.0,84.0,0.0,2.378990275519235,1.1246037738279977,4.741512060165405,40.29745949709574,5.955709934234619,0.0,0.2847253442072295,4.741512060165405,0.0
104.26.250.163,203.74.125.240,443,48836,6,14,0.02059006690979004,18434,1316.7142857142858,1197.4261342307407,83.0,3958.0,0.5714285714285714,0.0015838513007530798,0.0029919472217065494,0.009623050689697266,895242.5865429799,0.02059006690979004,0.0,0.0,0.0,0.0
157.154.191.254,114.32.236.25,4542,47764,6,1593,16.991516828536987,82836,52.0,0.0,52.0,52.0,0.0,0.010673063334508157,0.016863926633182442,0.23400616645812988,6715.577193629624,0.22427096366882324,0.0,0.27405520058549443,0.0862335893842909,0.030614397570393748
163.172.60.184,8.205.178.86,40480,20052,17,926,16.98774790763855,65570,70.80993520518359,34.19867232143256,49.0,207.0,0.0,0.018365132873122757,0.010732555706646519,0.07930707931518555,3916.9529546644,3.3480103969573975,0.0,0.014580856133338885,0.061923980712890625,0.011835951296719457
182.216.200.8,131.129.93.228,443,64339,6,6,3.5352401733398438,514,85.66666666666667,86.45936746369489,40.0,278.0,0.0,0.7070480346679687,1.3858250611577365,3.478437900543213,145.39319237290096,3.5352401733398438,0.0,0.0,0.0,0.0
182.216.200.51,133.244.145.253,443,20614,6,9,10.071628093719482,993,110.33333333333333,100.07774755436672,40.0,308.0,0.0,1.2589535117149353,3.266605461355557,9.901081085205078,5822.40747722441,0.08527350425720215,0.0,0.9830664923293537,9.901081085205078,0.0
150.96.198.114,202.170.86.229,80,38934,6,2161,0.6203460693359375,9647828,4464.520129569643,3259.531633085757,52.0,22548.0,0.985654789449329,0.0002871972543221933,0.00501097475655333,0.23233604431152344,24864829.548059747,0.19400501251220703,0.0,0.3745258997680638,0.23233604431152344,0.0
60.150.136.168,157.154.255.42,56321,40000,17,729,16.99827814102173,254793,349.5102880658436,413.7982022992817,91.0,1454.0,0.12208504801097393,0.023349283160744132,0.05831094040429002,0.6407849788665771,27842.793878854947,0.26915082510779886,0.0,0.46164379477797496,0.23779242688959296,0.11115558268890487
203.74.125.193,103.3.252.254,443,16616,6,470,16.91192889213562,120102,255.53617021276597,339.9334881286193,40.0,2860.0,0.036170212765957444,0.03605954987662179,0.05982285381219994,0.42754602432250977,10944.660041136067,0.3783989528129841,0.0,0.35113433525528837,0.2120842593056815,0.0689426015766601
137.39.9.241,203.74.113.64,873,44693,6,1946,16.99766516685486,5815000,2988.180883864337,1600.1702582089076,52.0,13084.0,0.9917780061664954,0.00873915946881998,0.023009020890528937,0.19331812858581543,1365475.7237005958,0.025809624700835258,0.0,0.7494603650975338,0.07767729933668928,0.021720599202856464
